Location,DateReported,PredHosp2wk,PredHosp4wk,PredHosp3mth,PredHospOPT,PredICU2wk,PredICU4wk,PredICU3mth,PredICUOPT,PredVents2wk,PredVents4wk,PredVents3mth,PredVentsOPT,DateRun,Date2wk,Date4wk,Date3mth
Region4,2020-05-21,24.0,15.0,15.0,4.0,3.9341620980000007,2.45885131125,2.45885131125,0.6556936830000001,1.9670810490000004,1.229425655625,1.229425655625,0.32784684150000004,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-22,26.0,14.0,14.0,3.0,4.2620089395,2.2949278905000003,2.2949278905000003,0.4917702622500001,2.13100446975,1.1474639452500002,1.1474639452500002,0.24588513112500004,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-23,28.0,14.0,14.0,3.0,4.589855781000001,2.2949278905000003,2.2949278905000003,0.4917702622500001,2.2949278905000003,1.1474639452500002,1.1474639452500002,0.24588513112500004,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-24,31.0,14.0,14.0,3.0,5.081626043250001,2.2949278905000003,2.2949278905000003,0.4917702622500001,2.5408130216250004,1.1474639452500002,1.1474639452500002,0.24588513112500004,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-25,34.0,14.0,14.0,3.0,5.573396305500001,2.2949278905000003,2.2949278905000003,0.4917702622500001,2.7866981527500005,1.1474639452500002,1.1474639452500002,0.24588513112500004,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-26,37.0,14.0,13.0,2.0,6.06516656775,2.2949278905000003,2.13100446975,0.32784684150000004,3.032583283875,1.1474639452500002,1.065502234875,0.16392342075000002,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-27,41.0,14.0,13.0,2.0,6.720860250750001,2.2949278905000003,2.13100446975,0.32784684150000004,3.3604301253750006,1.1474639452500002,1.065502234875,0.16392342075000002,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-28,46.0,14.0,13.0,2.0,7.540477354500001,2.2949278905000003,2.13100446975,0.32784684150000004,3.7702386772500005,1.1474639452500002,1.065502234875,0.16392342075000002,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-29,52.0,15.0,13.0,2.0,8.524017879,2.45885131125,2.13100446975,0.32784684150000004,4.2620089395,1.229425655625,1.065502234875,0.16392342075000002,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-30,58.0,15.0,12.0,2.0,9.507558403500001,2.45885131125,1.9670810490000004,0.32784684150000004,4.7537792017500005,1.229425655625,0.9835405245000002,0.16392342075000002,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-05-31,66.0,16.0,12.0,1.0,10.8189457695,2.6227747320000003,1.9670810490000004,0.16392342075000002,5.40947288475,1.3113873660000002,0.9835405245000002,0.08196171037500001,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-06-01,75.0,17.0,12.0,1.0,12.294256556250001,2.7866981527500005,1.9670810490000004,0.16392342075000002,6.147128278125001,1.3933490763750003,0.9835405245000002,0.08196171037500001,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-06-02,85.0,18.0,11.0,1.0,13.933490763750001,2.9506215735000003,1.8031576282500001,0.16392342075000002,6.9667453818750005,1.4753107867500002,0.9015788141250001,0.08196171037500001,04/12/2020,05/09/2020,05/23/2020,08/02/2020
Region4,2020-06-03,97.0,19.0,11.0,1.0,15.900571812750002,3.1145449942500005,1.8031576282500001,0.16392342075000002,7.950285906375001,1.5572724971250003,0.9015788141250001,0.08196171037500001,04/12/2020,05/09/2020,05/23/2020,08/02/2020
