,ihme_lower,ihme_mean,ihme_upper,chime,umcphr_4wk,umcphr_3mth,umcphr_opt
2020-03-10,0.0,0.0,0.0,0.04273212998466544,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.04273212998466544,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.04273212998466544,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.04273212998466544,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.04273212998466544,0.1634054127973644,0.1634054127973644,0.1634054127973644
2020-03-15,0.0,0.0,0.0,0.05081719011846575,0.1634054127973644,0.1634054127973644,0.1634054127973644
2020-03-16,0.0,0.0,0.0,0.06043189122389914,0.1634054127973644,0.1634054127973644,0.1634054127973644
2020-03-17,0.0,0.0,0.0,0.07186559868991599,0.1634054127973644,0.1634054127973644,0.1634054127973644
2020-03-18,0.0,0.0,0.0,0.08546240418981249,0.1634054127973644,0.1634054127973644,0.1634054127973644
2020-03-19,0.0,0.0,0.0,0.1016314701780362,0.1634054127973644,0.1634054127973644,0.1634054127973644
2020-03-20,0.0,0.0,0.0,0.12085932740014392,0.3268108255947288,0.3268108255947288,0.3268108255947288
2020-03-21,0.0,0.0,0.0,0.1437244931743792,0.4902162383920932,0.4902162383920932,0.4902162383920932
2020-03-22,1.0,1.0,1.0,0.1709148470531241,0.4902162383920932,0.4902162383920932,0.4902162383920932
2020-03-23,1.0,1.0,1.0,0.2032482820456152,0.6536216511894576,0.6536216511894576,0.6536216511894576
2020-03-24,1.0,1.0,1.0,0.2416972461615745,0.6536216511894576,0.6536216511894576,0.6536216511894576
2020-03-25,5.1,5.38054210526316,5.75,0.2874179032805357,0.9804324767841864,0.9804324767841864,0.9804324767841864
2020-03-26,5.1,5.38054210526316,5.75,0.3417847773556304,1.4706487151762797,1.4706487151762797,1.4706487151762797
2020-03-27,6.1,6.38054210526316,6.75,0.4064319032972752,1.7974595407710083,1.7974595407710083,1.7974595407710083
2020-03-28,6.25,6.91073157894737,7.7,0.483301695655649,2.1242703663657365,2.1242703663657365,2.1242703663657365
2020-03-29,6.25,6.91073157894737,7.7,0.5747029671059498,2.451081191960466,2.451081191960466,2.451081191960466
2020-03-30,7.55,8.28994736842105,9.1,0.6833797880066292,2.6144866047578303,2.6144866047578303,2.6144866047578303
