,ihme_lower,ihme_mean,ihme_upper,can_1,can_3,chime,umcphr_4wk,umcphr_3mth,umcphr_opt
2020-03-10,0.0,0.0,0.0,0.017391942547300653,0.017391172459834507,0.26063568643129265,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.02782710807568104,0.027825875935735225,0.26063568643129265,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.024348719566220922,0.024347641443768317,0.26063568643129265,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.26063568643129265,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,-0.04521905062298171,-0.045217048395569746,0.26063568643129265,1.0,1.0,1.0
2020-03-15,0.0,0.0,0.0,-0.08348132422704314,-0.08347762780720566,0.30994881916227346,1.0,1.0,1.0
2020-03-16,0.0,0.0,0.0,-0.08000293571758307,-0.07999939331523881,0.3685916769684627,1.0,1.0,1.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.4383291834987784,1.0,1.0,1.0
2020-03-18,0.0,0.0,0.0,0.17910925994462612,0.17910202112244436,0.5212600539236791,1.0,1.0,1.0
2020-03-19,0.0,0.0,0.0,0.4310981888324915,0.4310846352930874,0.619879889029157,1.0,1.0,1.0
2020-03-20,0.0,0.0,0.0,0.7175380233041113,0.7175249318171868,0.7371561813058429,2.0,2.0,2.0
2020-03-21,0.0,0.0,0.0,1.0,1.0,0.8766174760990495,3.0,3.0,3.0
2020-03-22,3.2,4.81095,7.50125,1.2662820108444768,1.2663089639057918,1.0424593508204731,3.0,3.0,3.0
2020-03-23,3.2,4.81095,7.50125,1.6090885688970766,1.6091390866348558,1.2396703727604903,4.0,4.0,4.0
2020-03-24,3.2,4.81095,7.50125,2.147350842501138,2.1473996660464922,1.4741817850989651,4.0,4.0,4.0
2020-03-25,19.8975,23.9917,29.45125,3.0,3.0,1.7530453675266724,6.0,6.0,6.0
2020-03-26,19.8975,23.9917,29.45125,4.240137696677466,4.240037123254387,2.084644741318028,9.0,9.0,9.0
2020-03-27,24.09875,28.80105,34.45125,5.757547535579201,5.75735901816749,2.478946360536572,11.0,11.0,11.0
